id,budget,genres,keywords,original_language,popularity,release_date,revenue,runtime,tagline,title,score,vote_count
5,4000000,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",en,22.87623,1995-12-09,4300000,98.0,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,530
11,11000000,"['Adventure', 'Action', 'Science Fiction']","['android', 'galaxy', 'hermit', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'empire', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']",en,126.393695,1977-05-25,775398007,121.0,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6624
12,94000000,"['Animation', 'Family']","['father son relationship', 'harbor', 'underwater', 'fish tank', 'great barrier reef', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father']",en,85.688789,2003-05-30,940335536,100.0,"There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,7.6,6122
13,55000000,"['Comedy', 'Drama', 'Romance']","['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'hugging', 'shrimping', 'wounded soldier', 'flashback', 'park bench', 'amputee']",en,138.133331,1994-07-06,677945399,142.0,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927
14,15000000,['Drama'],"['male nudity', 'female nudity', 'adultery', 'midlife crisis', 'coming out', 'first time', 'camcorder', 'virgin', 'nudity', 'film maker', 'estate agent', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'exercise', 'parent child relationship', 'bittersweet', 'affair']",en,80.878605,1999-09-15,356296601,122.0,Look closer.,American Beauty,7.9,3313
16,12800000,"['Drama', 'Crime', 'Music']","['individual', 'dancing', 'usa', 'robbery', 'factory worker', 'secret', 'factory', 'small town', 'dance', 'blindness and impaired vision', 'death penalty', 'immigrant', 'eye operation', 'eyesight', 'fantasy', 'naivety', 'self-abandonment', 'hereditary disease', 'loss of eyesight', 'czech', 'dying and death', 'van', 'friendship', 'murder', 'teacher', 'debt', 'execution', 'crime', 'police officer']",en,22.022228,2000-05-17,40031879,140.0,You don't need eyes to see.,Dancer in the Dark,7.6,377
18,90000000,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['clone', 'taxi', 'cyborg', 'egypt', 'future', 'stowaway', 'space travel', 'race against time', 'arms dealer', 'love', 'alien', 'priest', 'end of the world', 'good vs evil', 'shootout', 'police chase', 'cab driver', 'new york city', 'space opera', 'military', 'opera singer', 'resort hotel', 'ancient astronaut', 'archeologist', 'ancient evil', 'cruise liner']",en,109.528572,1997-05-07,263920180,126.0,There is no future without it.,The Fifth Element,7.3,3885
19,92620000,"['Drama', 'Science Fiction']","['man vs machine', 'underground world', 'inventor', 'metropolis', 'worker', 'future', 'machine town', 'work', 'class society', 'dystopia', 'tower of babel', 'delirium', 'chase scene', 'mad scientist', 'prophet', 'robot', 'destruction', 'silent film', 'depravity', 'masterpiece', 'downtrodden', 'saviour']",de,32.351527,1927-01-10,650422,153.0,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8.0,657
22,140000000,"['Adventure', 'Fantasy', 'Action']","['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden eye', 'gold coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger', 'pirate ship', 'capuchin monkey', 'tortuga']",en,271.972889,2003-07-09,655011224,143.0,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
24,30000000,"['Action', 'Crime']","['japan', 'coma', 'martial arts', 'kung fu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'female yakuza', 'blood', 'wedding', 'samurai sword', 'part animation']",en,79.754966,2003-10-10,180949000,111.0,Go for the kill.,Kill Bill: Vol. 1,7.7,4949
