id,budget,genres,keywords,original_language,popularity,release_date,revenue,runtime,tagline,title,score,vote_count
5,4000000,"['Crime', 'Comedy']","[{""id"": 612, ""name"": ""hotel""}, {""id"": 613, ""name"": ""new year's eve""}, {""id"": 616, ""name"": ""witch""}, {""id"": 622, ""name"": ""bet""}, {""id"": 922, ""name"": ""hotel room""}, {""id"": 2700, ""name"": ""sperm""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 160488, ""name"": ""hoodlum""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 198129, ""name"": ""episode film""}]",en,22.87623,1995-12-09,4300000,98.0,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,530
11,11000000,"['Adventure', 'Action', 'Science Fiction']","[{""id"": 803, ""name"": ""android""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 4271, ""name"": ""hermit""}, {""id"": 10013, ""name"": ""death star""}, {""id"": 10016, ""name"": ""lightsaber""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 11107, ""name"": ""rescue mission""}, {""id"": 11195, ""name"": ""empire""}, {""id"": 11196, ""name"": ""rebellion""}, {""id"": 13194, ""name"": ""planet""}, {""id"": 155336, ""name"": ""smuggler""}, {""id"": 160134, ""name"": ""the force""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 163295, ""name"": ""galactic war""}, {""id"": 178710, ""name"": ""stormtrooper""}, {""id"": 178712, ""name"": ""totalitarianism""}]",en,126.393695,1977-05-25,775398007,121.0,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6624
12,94000000,"['Animation', 'Family']","[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 10026, ""name"": ""harbor""}, {""id"": 14785, ""name"": ""underwater""}, {""id"": 33759, ""name"": ""fish tank""}, {""id"": 33760, ""name"": ""great barrier reef""}, {""id"": 156948, ""name"": ""missing child""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180557, ""name"": ""short term memory loss""}, {""id"": 180568, ""name"": ""clownfish""}, {""id"": 180574, ""name"": ""father son reunion""}, {""id"": 181068, ""name"": ""protective father""}]",en,85.688789,2003-05-30,940335536,100.0,"There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,7.6,6122
13,55000000,"['Comedy', 'Drama', 'Romance']","[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 458, ""name"": ""hippie""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 795, ""name"": ""running""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10624, ""name"": ""bully""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 162365, ""name"": ""military""}, {""id"": 162934, ""name"": ""hugging""}, {""id"": 166980, ""name"": ""shrimping""}, {""id"": 180204, ""name"": ""wounded soldier""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 208143, ""name"": ""park bench""}, {""id"": 215492, ""name"": ""amputee""}]",en,138.133331,1994-07-06,677945399,142.0,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927
14,15000000,['Drama'],"[{""id"": 255, ""name"": ""male nudity""}, {""id"": 293, ""name"": ""female nudity""}, {""id"": 596, ""name"": ""adultery""}, {""id"": 1599, ""name"": ""midlife crisis""}, {""id"": 1862, ""name"": ""coming out""}, {""id"": 2201, ""name"": ""first time""}, {""id"": 2249, ""name"": ""camcorder""}, {""id"": 2389, ""name"": ""virgin""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 2559, ""name"": ""film maker""}, {""id"": 2918, ""name"": ""estate agent""}, {""id"": 8201, ""name"": ""satire""}, {""id"": 9957, ""name"": ""loneliness""}, {""id"": 10123, ""name"": ""dark comedy""}, {""id"": 10532, ""name"": ""suburbia""}, {""id"": 10683, ""name"": ""coming of age""}, {""id"": 10776, ""name"": ""marijuana""}, {""id"": 33611, ""name"": ""exercise""}, {""id"": 166123, ""name"": ""parent child relationship""}, {""id"": 224279, ""name"": ""bittersweet""}, {""id"": 229299, ""name"": ""affair""}]",en,80.878605,1999-09-15,356296601,122.0,Look closer.,American Beauty,7.9,3313
16,12800000,"['Drama', 'Crime', 'Music']","[{""id"": 30, ""name"": ""individual""}, {""id"": 246, ""name"": ""dancing""}, {""id"": 279, ""name"": ""usa""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 730, ""name"": ""factory worker""}, {""id"": 1328, ""name"": ""secret""}, {""id"": 1382, ""name"": ""factory""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 1741, ""name"": ""blindness and impaired vision""}, {""id"": 2122, ""name"": ""death penalty""}, {""id"": 2356, ""name"": ""immigrant""}, {""id"": 2480, ""name"": ""eye operation""}, {""id"": 2481, ""name"": ""eyesight""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 2487, ""name"": ""naivety""}, {""id"": 2488, ""name"": ""self-abandonment""}, {""id"": 2489, ""name"": ""hereditary disease""}, {""id"": 2490, ""name"": ""loss of eyesight""}, {""id"": 2624, ""name"": ""czech""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4580, ""name"": ""van""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10508, ""name"": ""teacher""}, {""id"": 11061, ""name"": ""debt""}, {""id"": 13129, ""name"": ""execution""}, {""id"": 14536, ""name"": ""crime""}, {""id"": 15090, ""name"": ""police officer""}]",en,22.022228,2000-05-17,40031879,140.0,You don't need eyes to see.,Dancer in the Dark,7.6,377
18,90000000,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","[{""id"": 402, ""name"": ""clone""}, {""id"": 444, ""name"": ""taxi""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 1160, ""name"": ""egypt""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3622, ""name"": ""stowaway""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4776, ""name"": ""race against time""}, {""id"": 6163, ""name"": ""arms dealer""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 10150, ""name"": ""end of the world""}, {""id"": 10842, ""name"": ""good vs evil""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 11148, ""name"": ""police chase""}, {""id"": 11290, ""name"": ""cab driver""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 162365, ""name"": ""military""}, {""id"": 164920, ""name"": ""opera singer""}, {""id"": 169593, ""name"": ""resort hotel""}, {""id"": 172718, ""name"": ""ancient astronaut""}, {""id"": 223344, ""name"": ""archeologist""}, {""id"": 229863, ""name"": ""ancient evil""}, {""id"": 234630, ""name"": ""cruise liner""}]",en,109.528572,1997-05-07,263920180,126.0,There is no future without it.,The Fifth Element,7.3,3885
19,92620000,"['Drama', 'Science Fiction']","[{""id"": 312, ""name"": ""man vs machine""}, {""id"": 1001, ""name"": ""underground world""}, {""id"": 1436, ""name"": ""inventor""}, {""id"": 1761, ""name"": ""metropolis""}, {""id"": 2346, ""name"": ""worker""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3223, ""name"": ""machine town""}, {""id"": 3640, ""name"": ""work""}, {""id"": 4034, ""name"": ""class society""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5966, ""name"": ""tower of babel""}, {""id"": 6662, ""name"": ""delirium""}, {""id"": 10012, ""name"": ""chase scene""}, {""id"": 10125, ""name"": ""mad scientist""}, {""id"": 11222, ""name"": ""prophet""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14796, ""name"": ""destruction""}, {""id"": 154802, ""name"": ""silent film""}, {""id"": 201028, ""name"": ""depravity""}, {""id"": 206472, ""name"": ""masterpiece""}, {""id"": 234109, ""name"": ""downtrodden""}, {""id"": 234110, ""name"": ""saviour""}]",de,32.351527,1927-01-10,650422,153.0,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,8.0,657
22,140000000,"['Adventure', 'Fantasy', 'Action']","[{""id"": 911, ""name"": ""exotic island""}, {""id"": 1318, ""name"": ""blacksmith""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 1321, ""name"": ""gold""}, {""id"": 1459, ""name"": ""marriage proposal""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 3266, ""name"": ""jamaica""}, {""id"": 4062, ""name"": ""skeleton""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 5744, ""name"": ""governor""}, {""id"": 11086, ""name"": ""wooden eye""}, {""id"": 11087, ""name"": ""gold coin""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 167861, ""name"": ""caribbean""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 185200, ""name"": ""pirate ship""}, {""id"": 235625, ""name"": ""capuchin monkey""}, {""id"": 235626, ""name"": ""tortuga""}]",en,271.972889,2003-07-09,655011224,143.0,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
24,30000000,"['Action', 'Crime']","[{""id"": 233, ""name"": ""japan""}, {""id"": 732, ""name"": ""coma""}, {""id"": 779, ""name"": ""martial arts""}, {""id"": 780, ""name"": ""kung fu""}, {""id"": 1449, ""name"": ""underworld""}, {""id"": 1794, ""name"": ""yakuza""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 3582, ""name"": ""bride""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10704, ""name"": ""female yakuza""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 18098, ""name"": ""samurai sword""}, {""id"": 193521, ""name"": ""part animation""}]",en,79.754966,2003-10-10,180949000,111.0,Go for the kill.,Kill Bill: Vol. 1,7.7,4949
